Account,Post Type,Media ID,Caption,Date,Location,Post URL,Type Name,Media Count,Caption Hashtags,Caption Mentions,Likes,Comments,Title,URL,regex_street_address,ny_regex_street_address,regex_latitude,regex_longitude,regex_coordinates,caption cleaned,caption parts,burrough,lat_long_pairs,regex_distance,parsed_distance,regex_nearby,parsed_nearby,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
stoopingnyc,post,3.16e+18,Annnnnd I’m having flashbacks and probably soon to have nightmares. I also remember that these are not cheap! Lafayette and Carlton. #stoopingbrooklyn,2023-07-31 13:31:00,,https://www.instagram.com/p/CvXQ9GBuLyu,GraphImage,1,['stoopingbrooklyn'],[],320,11,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/363504126_3078127162497244_5596440829049092237_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=g94HfkjWiUYAX-VlEa_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBf3MEr6A_LONiJSPwwKM4p0FJzu_olscQ1j-HwqHXC9w&oe=64DC5448&_nc_sid=bc0c2c,,,,,"nan, nan",Annnnnd I   m having flashbacks and probably soon to have nightmares. I also remember that these are not cheap! Lafayette and Carlton. #stoopingbrooklyn,"['Annnnnd I', 'm having flashbacks and probably so', ' to have nightmares', 'I also remember th', ' these are not cheap', 'Lafayette and Carlt', 'stoopingbrooklyn']",,"[(22.269919, 114.240714), (8.6531811, 124.7533311)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,Someone uptown is getting a new couch today! 138th & Broadway #stooping,2023-07-31 13:10:00,,https://www.instagram.com/p/CvXOi7huAoi,GraphImage,1,['stooping'],[],244,6,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/363527692_967736567679814_8996537131812155596_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=dO5OB-ksHGQAX8bJ-UP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAagc5Arn6BbDyIG9RPHVZ5n8RosSF-jVXtgF7BYXy7FQ&oe=64DDCCD3&_nc_sid=bc0c2c,,,,,"nan, nan",Someone uptown is getting a new couch today! 138th & Broadway #stooping,"['Some', 'e uptown is getting a new couch today', '138th & Broadway', 'stooping']",,"[(45.5562134, -122.5211421)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,❤️! 1386 Union street #stoopingbrooklyn,2023-07-31 13:08:00,,https://www.instagram.com/p/CvXOVChOhUE,GraphImage,1,['stoopingbrooklyn'],[],296,5,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/363486413_1011908993153204_3538005086716404001_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=s65JXrYPeUgAX8iX69D&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBHaGzsYL7AqyZqzuTQhxns1PzLoB5FHIdoBrXZn9BggA&oe=64DCB2BD&_nc_sid=bc0c2c,1386 Union street,"1386 Union street, New York, New York",40.6683825,-73.9440263,"40.6683825, -73.94402629999999",      ! 1386 Union street #stoopingbrooklyn,"['1386 Uni', ' street', 'stoopingbrooklyn']",,[],5.040287122,,False,False,,,,
stoopingnyc,post,3.16e+18,These out now on 328 W 83rd! #stooping,2023-07-31 12:11:00,,https://www.instagram.com/p/CvXHxdJOmyM,GraphImage,1,['stooping'],[],295,2,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/363510065_244703911714900_5973276108483643619_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=r3XdTDlkGaQAX8AKzmZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDWGV-C4u5pnUEMsbjTxQ16rvhk_L035540_jh3XTVOlg&oe=64DCA1B4&_nc_sid=bc0c2c,328 W 83rd,"328 W 83rd, New York, New York",40.7873674,-73.9806613,"40.7873674, -73.9806613",These out now on 328 W 83rd! #stooping,"['These out now ', ' 328 W 83rd', 'stooping']",,"[(40.7873674, -73.9806613)]",4.331991507,,False,False,,,,
stoopingnyc,post,3.16e+18,Mirrors like this are nyc approved! Peep pic 2. skillman and leonard. #stoopingbrooklyn,2023-07-31 01:08:00,,https://www.instagram.com/p/CvV766NNWn6,GraphSidecar,2,['stoopingbrooklyn'],[],2967,38,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/363798971_1014576666228815_1237402600107376418_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=fZpGx6Wq-A4AX9RWmdI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAvKvcYrP5i5pL2NbctIvUDpSzdiZyRBL1Ev1331TcMjg&oe=64DC2057&_nc_sid=bc0c2c,,,,,"nan, nan",Mirrors like this are nyc approved! Peep pic 2. skillman and leonard. #stoopingbrooklyn,"['Mirrors like this are nyc approved', 'Peep pic 2', 'skillman and le', 'ard', 'stoopingbrooklyn']",,"[(40.71518530000001, -74.00586440000001), (32.8668932, -96.7405065)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,PLURAL??? 😂 Grand and lorimer. #stoopingbrooklyn,2023-07-31 01:07:00,,https://www.instagram.com/p/CvV7vHYNviX,GraphImage,1,['stoopingbrooklyn'],[],1078,5,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/364317806_197510993055630_335575304408296089_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=DA4mUoumy7kAX-pNc1d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDnPbWEtFJOpZCC9sr6xD9ErMhHwN6tMaBaLDywVDb1sw&oe=64DD17E4&_nc_sid=bc0c2c,,,,,"nan, nan",PLURAL???      Grand and lorimer. #stoopingbrooklyn,"['PLURAL', 'Grand and lorimer', 'stoopingbrooklyn']",,[],,,False,False,,,,
stoopingnyc,post,3.16e+18,Quality!!!! E 77th st and 2nd ave. #stooping,2023-07-31 00:54:00,,https://www.instagram.com/p/CvV6TSftpSA,GraphImage,1,['stooping'],[],104,5,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/364207787_1552991308569993_1764935068247046413_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=VZkHvqVJSu8AX_aV6NE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCr4A-kgk3A_YB2FXRHy4CionOsgEVh5kM_M_X2AJ3XxQ&oe=64DC77B3&_nc_sid=bc0c2c,,,,,"nan, nan",Quality!!!! E 77th st and 2nd ave. #stooping,"['Quality', 'E 77th st and 2nd ave', 'stooping']",,"[(40.7736346, -73.95982939999999)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,"I’m all in on the leather chair! Leather chair, work desk, and cat tree also on Columbus and W 85th! #stooping",2023-07-30 21:01:00,,https://www.instagram.com/p/CvVfm4MPiCr,GraphImage,1,['stooping'],[],1145,5,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/364142114_279227804694905_7076344816928850862_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=HimdETsIH84AX9Or6wy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBynonI4dsB9g9m7iLeexvtYyjFRD7GagGMASPdMnYiIQ&oe=64DCB7A3&_nc_sid=bc0c2c,,,,,"nan, nan","I   m all in on the leather chair! Leather chair, work desk, and cat tree also on Columbus and W 85th! #stooping","['I', 'm all in ', ' the le', 'her chair', 'Le', 'her chair', 'work desk', 'and c', ' tree also ', ' Columbus and W 85th', 'stooping']",,"[(34.9727305, -105.0323635), (45.48931349999999, -75.4835909), (-37.322273, 148.24429)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,Beautiful marble table on stanton street between attorney and ridge!  #stooping,2023-07-30 19:15:00,,https://www.instagram.com/p/CvVTdluvswk,GraphImage,1,['stooping'],[],180,1,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/363512733_665968892066754_3128420416074545782_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=T1nPB0xoqn0AX8Fvka3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAToJJnRd5avMQivft4k2HyzcELEflEeOwBmfmqiGKuOw&oe=64DCDB52&_nc_sid=bc0c2c,,,,,"nan, nan",Beautiful marble table on stanton street between attorney and ridge!  #stooping,"['Beautiful marble table ', ' stant', ' street between ', 'torney and ridge', 'stooping']",,"[(38.5672635, -121.4812308)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,Umm…I’ll take your word for it 😳. This is on scholes and bushwick in bk #stoopingbrooklyn,2023-07-30 18:37:00,,https://www.instagram.com/p/CvVPKG7puI4,GraphImage,1,['stoopingbrooklyn'],[],2065,58,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/363826423_996537738463104_2358942773599571997_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=-ICSXbmzTzwAX_gr0fQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDv_Ct8JHprBoVohpe90ODIpeK4-Qs0jU7EJxOnd_wTDQ&oe=64DDEC68&_nc_sid=bc0c2c,,,,,"nan, nan",Umm   I   ll take your word for it     . This is on scholes and bushwick in bk #stoopingbrooklyn,"['Umm', 'I', 'll take your word for it', 'This is ', ' scholes and bushwick in bk', 'stoopingbrooklyn']",,"[(49.073912, 2.675071), (40.6957755, -73.9170604)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,A color coordinated stoop! corner of 2nd ave 9th st #stooping,2023-07-30 18:33:00,,https://www.instagram.com/p/CvVOt_Gpx2u,GraphImage,1,['stooping'],[],373,2,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/363950280_1000098121279025_7180447595140742457_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=3v_LOiatxRwAX8yILoG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB7sxtFWbTUJFFlUXrCQRNN4xVViGmf33plAM2iWURofA&oe=64DD1BDA&_nc_sid=bc0c2c,,,,,"nan, nan",A color coordinated stoop! corner of 2nd ave 9th st #stooping,"['A color coordin', 'ed stoop', 'corner ', ' 2nd ave 9th st', 'stooping']",,"[(27.1660697, 84.970151), (48.0939809, -123.2749038)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,"For someone’s Mojo Dojo Casa House…Free dart board and pull up bar, corner of 29th St and 3rd Ave - #stoopingnyc",2023-07-30 18:32:00,,https://www.instagram.com/p/CvVOjqjJFum,GraphImage,1,['stoopingnyc'],[],505,6,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/364256679_1757853971331015_568620048991528307_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=bXfEi2xJoHUAX9d1r9p&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDq60VDv6DMpsUjf_GUuk9WCLyj5SK2c225ZVkz10Cmyw&oe=64DDAAD0&_nc_sid=bc0c2c,,,,,"nan, nan","For someone   s Mojo Dojo Casa House   Free dart board and pull up bar, corner of 29th St and 3rd Ave   #stoopingnyc","['For some', 'e', 's Mojo Dojo Casa House', 'Free dart board and pull up bar', 'corner ', ' 29th St and 3rd Ave', 'stoopingnyc']",,"[(38.6775576, -90.476479), (48.0939809, -123.2749038), (40.8327501, -73.9050863)]",,,False,False,,,,
stoopingnyc,post,3.16e+18,This red east village couch surely has some amazing stories to tell. On 10th between 2nd and 3rd #stooping,2023-07-30 15:48:00,,https://www.instagram.com/p/CvU7ywnuK8f,GraphImage,1,['stooping'],[],523,1,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/363875180_793325912345010_5837255944017156324_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=ahmhp3sDVxMAX8p8tGd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAdqO-xIIPae4GxtovYD36L5XFJfAAkHeafw7jKQOyYRQ&oe=64DCDF60&_nc_sid=bc0c2c,,,,,"nan, nan",This red east village couch surely has some amazing stories to tell. On 10th between 2nd and 3rd #stooping,"['This red east village couch surely has some amazing stories to tell', ' 10th between 2nd and 3rd', 'stooping']",,"[(40.7264773, -73.98153370000001)]",,,False,False,,,,
