Account,Post Type,Media ID,Caption,Date,Location,Post URL,Type Name,Media Count,Caption Hashtags,Caption Mentions,Likes,Comments,Title,URL,regex_street_address,ny_regex_street_address,regex_latitude,regex_longitude,regex_coordinates
stoopingnyc,post,3229727220750075777,Pic is a little dark but we think it’s worth the journey! St Felix and Hancock #stoopingbrooklyn,2023-11-06 01:18:29,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.65, lng=-73.95)",https://www.instagram.com/p/CzSS8uiN8eB,GraphImage,1,['stoopingbrooklyn'],[],106,0,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/398808668_311350021683259_6382636472989907018_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzA2eDE0NTguc2RyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=20uQStikRoAAX-rxC42&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTcyNzIyMDc1MDA3NTc3Nw%3D%3D.2-ccb7-5&oh=00_AfBJrXokT2EDCdrHyopy4BI3L-NwxzWptONoewpaJy6g2g&oe=654D0B13&_nc_sid=fc8dfb,,,,,"nan, nan"
stoopingnyc,post,3229595886438445294,Exponentially nicer than my kitchen.  On Classon Ave between Lincoln and St. John’s. #stoopingbrooklyn,2023-11-05 20:57:32,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.65, lng=-73.95)",https://www.instagram.com/p/CzR1Fj7OfDu,GraphImage,1,['stoopingbrooklyn'],[],141,1,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/399768828_321557000508451_3620996044127753344_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45OTJ4OTkyLnNkciJ9&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=MCVAp2gHdRgAX8RQdKQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTU5NTg4NjQzODQ0NTI5NA%3D%3D.2-ccb7-5&oh=00_AfB7-_faVPNNLHrLZFyVSH1aw1JVgTCS644yhZlcKH57yg&oe=654DCE89&_nc_sid=fc8dfb,,,,,"nan, nan"
stoopingnyc,post,3229595440583929452,Couches all over NYC today. pet and smoke free home.  washington and myrtle! #stoopingbrooklyn,2023-11-05 20:56:39,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.65, lng=-73.95)",https://www.instagram.com/p/CzR0_EsOe5s,GraphImage,1,['stoopingbrooklyn'],[],256,2,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/399124144_357524649986404_6636501234096707413_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45MTB4OTEwLnNkciJ9&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=iqeLc2neJBsAX9J8jF3&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTU5NTQ0MDU4MzkyOTQ1Mg%3D%3D.2-ccb7-5&oh=00_AfCDhg21JkAQ4Iks_FNnO0OnreGPl0XbHZl8NZ_uzHtGIg&oe=654D183A&_nc_sid=fc8dfb,,,,,"nan, nan"
stoopingnyc,post,3229594394356783484,Ready for you! Bergen in between Nostrand and Bedford #stoopingbrooklyn,2023-11-05 20:54:35,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.65, lng=-73.95)",https://www.instagram.com/p/CzR0v2UOpl8,GraphImage,1,['stoopingbrooklyn'],[],128,2,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/399301870_297642363176954_3032987034656603929_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42MjJ4NjIyLnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=LNm3faN3fuMAX-YuYtd&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTU5NDM5NDM1Njc4MzQ4NA%3D%3D.2-ccb7-5&oh=00_AfBTHOOqOyj-Tcg6ixnRCWHYhjVqAluvDahs_mfbcuvKaA&oe=654DC07A&_nc_sid=fc8dfb,,,,,"nan, nan"
stoopingnyc,post,3229594063174469129,Locked safe in the upper east side. Most explosive stooping success ever coming up. 88th btw York and East End #stooping,2023-11-05 20:53:55,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7135649348, lng=-74.0057025416)",https://www.instagram.com/p/CzR0rB4OYYJ,GraphImage,1,['stooping'],[],573,9,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/399069511_305347345641438_6759449743046443548_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42Nzh4Njc4LnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=5iRcCSeYTQ4AX_Q1jc9&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTU5NDA2MzE3NDQ2OTEyOQ%3D%3D.2-ccb7-5&oh=00_AfAip92hm-Jfbe7QnRLzYKLF9hbbU1MK87xHRuuor6c-Cw&oe=654EC82C&_nc_sid=fc8dfb,,,,,"nan, nan"
stoopingnyc,post,3229592564700619754,Basic necessity! 260 E 10th Street #stooping,2023-11-05 20:50:56,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7135649348, lng=-74.0057025416)",https://www.instagram.com/p/CzR0VOUOSPq,GraphImage,1,['stooping'],[],167,1,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/398687472_270892582121758_6972936607865147749_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTA3eDExMDcuc2RyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=CvT5uUoKTewAX81J9q9&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTU5MjU2NDcwMDYxOTc1NA%3D%3D.2-ccb7-5&oh=00_AfDM3FwEtfTrWgFRXtz3i00Xj8ILTm8O6afKrswLNtVIaA&oe=654D4DE1&_nc_sid=fc8dfb,260 E 10th Street,"260 E 10th Street, New York, New York",40.7283322,-73.9838091,"40.7283322, -73.9838091"
stoopingnyc,post,3229505079077353849,Get the industrial look! Corner of Hester and Essex #stooping,2023-11-05 17:57:07,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7135649348, lng=-74.0057025416)",https://www.instagram.com/p/CzRgcI-ubl5,GraphImage,1,['stooping'],[],737,2,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/398667443_1371256596824552_443690375402769606_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=s4CzU0JyT7gAX9JHFns&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTUwNTA3OTA3NzM1Mzg0OQ%3D%3D.2-ccb7-5&oh=00_AfBI0Eca40gHD0IukQtj4NsvBYk5fPBViu0k8iZY_elbbg&oe=654E3464&_nc_sid=fc8dfb,,,,,"nan, nan"
stoopingnyc,post,3229466287301911135,For next grilling season! 609 Warren st! #stoopingbrooklyn,2023-11-05 16:40:03,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.65, lng=-73.95)",https://www.instagram.com/p/CzRXnpUuuJf,GraphImage,1,['stoopingbrooklyn'],[],114,0,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/398771812_325260273459169_4283078530495488769_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=2YqqxGjmi9QAX_cj0Nz&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyOTQ2NjI4NzMwMTkxMTEzNQ%3D%3D.2-ccb7-5&oh=00_AfCbblG7STdSVTPTAz-8CO5_UXJlRQmP3y3JmrjC8-MmbA&oe=654E6B04&_nc_sid=fc8dfb,609 Warren st,"609 Warren st, New York, New York",40.6811341,-73.9798134,"40.6811341, -73.9798134"
stoopingnyc,post,3228961337987070247,Looks amazing!! 403 Macon st bedstuy #stoopingbrooklyn,2023-11-04 23:56:48,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.65, lng=-73.95)",https://www.instagram.com/p/CzPkzqoMHkn,GraphImage,1,['stoopingbrooklyn'],[],111,0,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/399241593_278731997898031_3167905207225864322_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44MjB4ODIwLnNkciJ9&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Sqj7SDkk0ksAX9JOmL4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyODk2MTMzNzk4NzA3MDI0Nw%3D%3D.2-ccb7-5&oh=00_AfBvHJw3HoZmdbrtCmrymQm157BiZe8uHP_Vec3s0VjU_w&oe=654DCEFD&_nc_sid=fc8dfb,403 Macon st bedstuy,"403 Macon st bedstuy, New York, New York",40.6829317,-73.93559379999999,"40.6829317, -73.93559379999999"
stoopingnyc,post,3228856298279491990,"Royalty in Queens! Hi! In Astoria, 44th Street between Broadway and 34th Ave. #stoopingqueens",2023-11-04 20:28:07,"PostLocation(id=213104390, name='Queens, New York', slug='queens-new-york', has_public_page=True, lat=40.7042, lng=-73.9178)",https://www.instagram.com/p/CzPM7Ixu1mW,GraphImage,1,['stoopingqueens'],[],199,3,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/398326814_892352235561286_1703550043363035521_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45OTF4OTkxLnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=obt4YyfNNKAAX-P1XjX&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyODg1NjI5ODI3OTQ5MTk5MA%3D%3D.2-ccb7-5&oh=00_AfCeVBP3ZFJtj2aeJrZmFvp1-UVawzot7xphS_9aYLTuvA&oe=654D051B&_nc_sid=fc8dfb,,,,,"nan, nan"
